,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,rural_urban_settings
135,E02000139,2,0,1020.0,480342.1,urban
136,E02000140,1,0,660.0,595753.3,urban
137,E02000141,2,0,910.0,340449.0,urban
138,E02000142,2,0,1090.0,818229.0,urban
139,E02000144,2,8,1150.0,729174.3,urban
140,E02000145,3,0,690.0,640910.8,urban
141,E02000146,0,0,910.0,548888.5,urban
142,E02000147,1,0,1180.0,1362902.2,urban
143,E02000148,2,0,1090.0,1002068.8,urban
144,E02000149,0,0,790.0,695786.5,urban
145,E02000150,1,1,1000.0,663615.3,urban
146,E02000151,2,0,1120.0,1104869.5,urban
147,E02000152,0,0,760.0,546139.6,urban
148,E02000153,0,0,1100.0,877680.6,urban
149,E02000154,2,0,980.0,1008470.0,urban
150,E02000155,0,0,810.0,724095.5,urban
151,E02000156,3,1,990.0,1391975.6,urban
152,E02000157,0,1,1030.0,1109026.6,urban
153,E02000158,1,0,900.0,867156.1,urban
154,E02000159,2,1,1040.0,1717257.4,urban
155,E02000160,1,0,1020.0,1001709.3,urban
156,E02000161,0,0,1050.0,875289.0,urban
157,E02000162,0,1,870.0,892793.8,urban
158,E02000163,1,0,1050.0,1608395.7,urban
159,E02000165,0,0,1000.0,760376.5,urban
160,E02000166,1,0,1000.0,392029.6,urban
161,E02000167,0,0,1480.0,292517.3,urban
162,E02000168,2,10,1070.0,164111.0,urban
163,E02000169,1,0,1330.0,515596.4,urban
164,E02000170,1,1,1240.0,238458.4,urban
165,E02000171,0,1,1120.0,148528.5,urban
166,E02000172,1,3,700.0,81452.4,urban
167,E02000173,2,1,1350.0,254415.8,urban
168,E02000174,0,1,910.0,152742.9,urban
169,E02000175,4,2,1130.0,138832.9,urban
170,E02000176,1,0,1340.0,150370.6,urban
171,E02000177,0,3,770.0,88549.6,urban
172,E02000178,1,0,840.0,134094.1,urban
173,E02000179,2,2,1080.0,113507.8,urban
174,E02000180,1,0,860.0,117659.7,urban
175,E02000181,0,0,1300.0,243260.3,urban
176,E02000182,3,3,1030.0,163201.7,urban
177,E02000183,2,2,1040.0,110581.0,urban
178,E02000184,1,7,720.0,55105.8,urban
179,E02000185,3,0,690.0,92800.7,urban
180,E02000186,6,19,870.0,82284.6,urban
181,E02000187,3,8,600.0,16775.1,urban
182,E02000188,3,6,620.0,17884.8,urban
183,E02000189,0,5,690.0,20453.5,urban
184,E02000190,2,1,660.0,13629.6,urban
185,E02000191,6,6,820.0,13086.5,urban
186,E02000192,3,2,780.0,15137.6,urban
187,E02000193,7,19,870.0,15288.8,urban
188,E02000194,1,0,890.0,421185.8,urban
189,E02000195,0,0,970.0,758910.2,urban
190,E02000196,0,0,860.0,429743.9,urban
191,E02000197,1,0,830.0,404139.3,urban
192,E02000198,0,0,740.0,304654.2,urban
193,E02000199,0,0,880.0,325894.1,urban
194,E02000200,0,0,790.0,375863.7,urban
195,E02000201,2,0,670.0,249218.1,urban
196,E02000202,1,0,830.0,289785.2,urban
197,E02000203,2,0,720.0,217040.5,urban
198,E02000204,2,0,850.0,311471.6,urban
199,E02000206,0,0,710.0,320211.7,urban
